id,value
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Geospatial Commiss_200999874,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'GIAA' subdomain_238403097,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'GOV.UK blogs' subd_88172295,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'GOV.UK Verify' sub_76638109,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Government as a Pl_87914189,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Government data ar_173758046,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Government Equalit_154891297,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Government Grants _255925855,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Government Science_126439916,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Government technol_84283690,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Government vets' s_134793384,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Healthcare UK' sub_85407769,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'healthtech' subdomain_183487408,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'History' subdomain_71796240,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'HM Land Registry' _157916158,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Home Office Digita_84105430,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Home Office in the_134655981,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Homes and communit_96072124,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Import and export _114287528,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Innovate UK' subdo_101687329,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Inside DIO' subdomain_75227950,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Inside DVLA' subdo_87916825,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Inside Government'_73921887,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Inside HMCTS' subd_101683209,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Insolvency Service_202253160,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Institute for Appr_153849408,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Intellectual Prope_90994107,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'International Deve_153599943,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'IPA' subdomain_167576917,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Jon Rouse' subdomain_73648430,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Knowledge Asset' s_220436793,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Legal aid' subdomain_195165280,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Life at HMRC' subd_73930054,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Love sea life' sub_79131219,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Marine development_83989221,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Marine Science' su_76942931,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Matters of testing_73935315,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Medicines and Heal_134509914,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'MHRA Inspectorate'_77766174,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'MOD Media Updates'_95082261,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'MOJ digital' subdo_89018102,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Moving On' subdomain_78045848,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'National Minimum W_74807834,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'National Screening_78047421,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Natural England' s_121725771,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'NCTL' subdomain_94777378,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'NHS choice and com_87023434,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'NHS cost recovery'_85467624,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'No 10 Media blog' _210587387,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Nuclear Decommissi_77476437,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Nurses, midwives a_115278550,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Office of Financia_170649690,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Office of the Publ_92691623,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Ofqual' subdomain_94277392,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Online Safety Data_243954941,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Open Innovation' s_168548383,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Operational Delive_253762514,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Parents' subdomain_257404986,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Pensions Latest' s_92690829,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Planning Inspector_241519930,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Policy lab' subdomain_86073156,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Prison Leavers Pro_252087573,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Public Policy Desi_244757517,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Quarterly' subdomain_73646371,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Reform' subdomain_220446176,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Regulatory Policy _249389221,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Rural payments' su_85475153,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Security professio_86886206,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Services in govern_204734863,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'SFA Digital' subdo_74811376,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Shared Services' s_177822824,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'SMCP commission' s_73703046,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Social care inspec_135803027,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Social care' subdo_73703937,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Social Mobility Co_246390470,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Social Security Ad_164898511,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Social work with a_80990753,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Social work with c_203216542,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Space' subdomain_92182230,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Strat Command' sub_228026425,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Supporting Familie_157961703,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Systems thinking' _208214903,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Tax agents' subdomain_79131411,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Teaching' subdomain_85467818,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Technology in gove_195389375,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Test blog' subdomain_142807666,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'The Queen's Awards_73931570,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Trade Remedies' su_260878744,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Transforming toget_118983078,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'UK Commission for _96018048,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'UK Export Finance'_141571646,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'UK Health Security_76431968,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'UK National Screen_242749506,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'UKTI' subdomain_86954299,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'User research' sub_87009326,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Valuation Office A_170952946,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Veterans Today' su_118160259,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Veterinary Medicin_262193343,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Video surveillance_116843179,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Viv Bennett' subdo_80989065,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'What works' subdomain_174413398,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Working in the Pri_165316422,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. ‘GFiE’ subdomain_212844607,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. ‘UKHO’ subdomain_180015084,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.All Web Site (UNFILTERED)_71798420,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.Benji - All Web Site_89834801,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.Template blog_240809240,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.X. All Web Site (Defau_71865943,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.X. All Web Site (no Ho_71796233,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.X. All Web Site (UNFIL_71777199,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.X. Copy of 2. 'History_74665694,1
www.gov.uk_26179049.Accounts_UA-26179049-28.All Web Site Data_232024396,1
www.gov.uk_26179049.API use (data sent via_UA-26179049-14.1. API All web site data_159879322,1
